Constituent ID,Constituent type,Constituent codes,Lifetime giving,First gift amount,First gift type,First gift date,Latest gift amount,Latest gift type,Latest gift date,Greatest gift amount,Greatest gift type,Greatest gift date,Prospect status,Last action category,Last action date,Prospect classification,Gender,Spouse,Tags,BPI - Bass Society,"Committee, WSF Board+","Committee, WSF-Driven","Committees, Outside",Community Groups,"Events, BPI","Events, Community Conversations","Events, Donor","Events, PA","Events, Prospect","Events, Sponsor","Events, Volunteer","Events, Womens Fund","Events, WSF",Legacy,Original Building Donor - 2014,Stewardship Letters,Tax Status,Echo Award,Date added,Solicit codes,Professional Advisors,Prospect Type,Transformational Donor
76,Individual,Volunteer (No start date - No end date);WSF-Former Staff (3/1/2019 - 9/1/2021),1625,50,One-time gift,12/16/2009,100,Soft credit other,9/1/2021,100,One-time gift,12/31/2014,,Mailing,10/27/2022,,Female,0,Higher giving potential;At risk donor,,,Scholarship Application Reviewers - Current Member (6/14/2021),,Echo Council - Current Member (3/1/2004),,,2018 Student Aid Breakfast (7/24/2018),,,,2016 Holiday Volunteer Event (No date),,,0,,,,,4/3/2003,,,Women's Fund (2/8/2016),
1996.MID.02351,Individual,Prospect (No start date - No end date),1625,100,One-time gift,12/8/2005,500,One-time gift,12/23/2009,775,Other,2/20/2008,,,,,Male,1,Lost donor;High wealth rating,,,,,,,,,,,,,,,0,,,,,9/16/1996,,,Carolina Physicians Assoc Doc (95-08) (No date),
2018.1143,Individual,Individual (9/10/2018 - No end date),1624,100,One-time gift,9/5/2018,125,One-time gift,1/27/2021,1099,Soft credit stock/property (sold),12/18/2020,,,,,Female,1,Higher giving potential;Lapsing donor,,,,,,,,,,,,,,,0,,,,,9/10/2018,,,,
2007.136,Individual,Individual (No start date - No end date),1620,300,One-time gift,2/7/2007,25,One-time gift,5/31/2013,300,One-time gift,2/7/2007,,Mailing,4/4/2007,,Female,0,Lost donor,,,,,,,,,,,,,,,0,,,,,2/9/2007,,,,
2002.MID.07263,Individual,,1617.36,250,One-time gift,2/6/2003,1367.36,Other,4/21/2010,1367.36,Other,4/21/2010,,,,,Female,0,Lost donor,,,,,,,,,,,,,,,0,,,,,12/11/2002,,,,
2007.609,Individual,Individual (No start date - No end date),1615,15,Soft credit one-time gift,3/10/2004,100,One-time gift,3/7/2022,100,One-time gift,6/27/2007,,Mailing,2/1/2008,,Female,1,Higher giving potential,,,,,,,,,,,,,,,0,,,,,3/10/2004,,,,
2007.2926,Organization,Organization (No start date - No end date),1612.71,351,One-time gift,2/12/2014,45,One-time gift,2/24/2020,416,One-time gift,2/22/2016,,,,,,0,Lapsed donor,,,,,,,,,,,,,,,0,,,Other (No date),,10/6/2007,,,,
1999.MID.04886,Individual,,1610,10,One-time gift,12/1/1999,500,One-time gift,12/30/2020,800,Pledge,5/25/2016,,Mailing,9/25/2009,,Male,1,Higher giving potential;Lapsing donor;High wealth rating,,,,,,2009 Appeal (No date),,,,,,,,,0,,,,,12/3/1999,,,,
2018.1249,Organization,,1609.9,1609.9,Other,10/10/2018,1609.9,Other,10/10/2018,1609.9,Other,10/10/2018,,,,,,0,Lapsed donor,,,,,,,,,,,,,,,0,,,,,10/10/2018,,,,
2006.3591,Individual,,1609,109,One-time gift,12/19/2006,100,One-time gift,1/12/2022,109,One-time gift,12/19/2006,,Mailing,3/27/2007,,Female,1,Higher giving potential,,,,,,,,,,,,,,,0,,,,,6/21/1999,,,,
2010.1131,Individual,,1600,1600,One-time gift,6/23/2010,1600,One-time gift,6/23/2010,1600,One-time gift,6/23/2010,,Mailing,9/15/2020,,Male,1,Lost donor,,,,,,,,,,,,,,,0,,,,,6/25/2010,,,,
2019.996,Individual,Professional Advisor (No start date - No end date);Individual (7/23/2019 - No end date),1600,200,One-time gift,12/10/2019,50,Soft credit one-time gift,10/3/2022,1000,Soft credit one-time gift,4/6/2020,,Email,11/5/2021,,Female,1,Higher giving potential,,,,,, (No date),,,2022 PA Appreciation Breakfast (6/7/2022),,,,,Jazz on the Rooftop (9/20/2022);Conversation with LaTida Smith (11/9/2021),1,,,,,7/23/2019,,,BPI (7/23/2019),
2006.3225,Individual,,1600,1200,One-time gift,12/20/2006,50,One-time gift,4/6/2011,1200,One-time gift,12/20/2006,,Mailing,3/30/2007,,Female,1,Lost donor,,,,,,,,,,,,,,,0,,,,,8/23/2006,,,,
1724,Individual,Individual (No start date - No end date),1600,25,One-time gift,9/24/2007,100,One-time gift,3/11/2022,100,One-time gift,11/1/2007,,Mailing,2/1/2008,,Female,1,Higher giving potential,,,,,Echo Council - Current Member (No date),,,,,,,,,,0,,,,,6/13/2005,,,,
2011.1275,Individual,,1600,1000,One-time gift,7/11/2011,600,One-time gift,1/3/2019,1000,One-time gift,7/11/2011,,,,,Male,1,Lapsed donor,,,,1,,,,,,,,,,,0,,,,,7/11/2011,,,,
2012.1639,Individual,Fundholder Portal Access (9/8/2021 - 12/31/2099),1600,1000,One-time gift,9/17/2012,600,One-time gift,8/18/2015,1000,One-time gift,9/17/2012,,Email,9/9/2022,,Male,0,Lost donor;High wealth rating,,,,,,,,,,,,,,,0,,,,,9/18/2012,,,,
2002.MID.06348,Individual,,1600,250,One-time gift,12/28/2001,250,One-time gift,12/23/2021,250,One-time gift,12/28/2001,,,,,Male,1,Higher giving potential,,,,,,,,,,,,,,,0,,,,,1/3/2002,,,,
2012.1784,Individual,Individual (No start date - No end date);Volunteer (No start date - No end date);WSF Board Member - Former (No start date - No end date),1600,100,One-time gift,9/16/2013,200,One-time gift,12/31/2017,500,Pledge,12/23/2014,,,,,Female,0,Higher giving potential;Lapsed donor,,,Women's Fund Committee Board-Past Member (No date),,,,,2016 Legacy Dinner (11/9/2016);2012 Community Meeting (No date),,2016 Women's Rooftop Event (No date),,2016 Holiday Volunteer Event (No date),,WSF Committee Dinner (5/3/2022),0,,,,,10/9/2012,,,,
2006.3684,Individual,Individual (No start date - No end date),1600,100,One-time gift,12/11/2006,100,One-time gift,1/13/2022,100,One-time gift,12/11/2006,,Mailing,3/30/2007,,Female,1,Higher giving potential,,,,,,,,,,,,,,,0,,,,,12/13/2006,,,,
2011.221,Individual,,1600,400,One-time gift,2/13/2011,400,One-time gift,9/9/2022,400,One-time gift,2/13/2011,,,,,Female,0,,,,,,,,,,,,,,,,0,,,,,2/14/2011,,,,
176,Individual,Volunteer (No start date - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099),1600,500,One-time gift,10/6/2003,200,Soft credit one-time gift,12/22/2009,500,One-time gift,10/6/2003,,Email,10/27/2022,,Female,0,Lost donor,,,,,,,,"2017 Student Aid Breakfast (7/25/2017);2005 Gaudiani dinner, May (No date)",,,,,,,0,,,,,2/5/1999,,,,
2002.MID.07044,Individual,,1600,100,One-time gift,8/30/2002,500,Soft credit one-time gift,5/10/2016,500,One-time gift,8/20/2007,,,,,Male,0,Lost donor,,,,,,,,,,,,,,,0,,,,,9/3/2002,,,,
566,Individual,,1600,500,One-time gift,3/10/2004,1000,Soft credit one-time gift,11/20/2006,1000,Soft credit one-time gift,11/20/2006,,Email,12/8/2006,,Male,0,Higher giving potential;Lost donor,,,,,,,,,,,,,,,0,,,,,3/10/2004,,,,
2016.1338,Individual,Individual (No start date - No end date),1600,750,One-time gift,10/11/2016,100,One-time gift,1/7/2018,750,One-time gift,10/11/2016,,,,,Male,1,Lapsed donor,,,,,,,,,,,,,,,0,,,,,10/11/2016,,,,
2002.MID.07282,Individual,,1600,100,One-time gift,12/30/2002,250,One-time gift,10/24/2022,250,One-time gift,1/11/2013,,Mailing,11/1/2022,,Male,1,Higher giving potential,,,,,,,,,,,,,,,1,,,,,12/31/2002,,,,
2018.73,Individual,Individual (1/23/2018 - No end date),1600,100,One-time gift,1/22/2018,100,Soft credit one-time gift,4/4/2022,600,One-time gift,1/22/2020,,,,,Female,1,Higher giving potential,,,,,,,,,,,,,,,0,,,,,1/23/2018,,,,
2009.1712,Individual,,1600,100,One-time gift,11/30/2009,250,One-time gift,6/28/2017,500,One-time gift,4/30/2014,,,,,Male,1,Lost donor;High wealth rating,,,,,,,,,,,,,,,0,,,,,12/3/2009,,,,
2014.1437,Individual,Individual (12/23/2014 - No end date),1600,100,One-time gift,12/22/2014,50,One-time gift,9/16/2022,100,One-time gift,12/22/2014,,,,,Male,1,Higher giving potential,,,,,,,,,,,,,,,0,,,,,12/23/2014,,,,
2010.1316,Individual,,1600,100,One-time gift,6/30/2010,100,One-time gift,2/19/2015,500,Soft credit one-time gift,1/6/2014,,,,,Female,1,Lost donor,,,,,,,,,,,,,,,0,,,,,7/1/2010,,,,
2018.52,Individual,Individual (No start date - No end date),1600,50,Soft credit one-time gift,9/21/1998,100,One-time gift,5/18/2018,700,Soft credit one-time gift,4/19/2016,,,,,Male,1,Higher giving potential;Lapsed donor;High wealth rating,,1,,,,,,,,,,,,,0,,,,,10/13/1998,,,,
2007.2854,Organization,Grant Requestor / Recipient (No start date - No end date);Religious Organization (No start date - No end date);Grant Payee (No start date - No end date),1600,800,One-time gift,7/9/2010,800,One-time gift,7/9/2010,800,One-time gift,7/9/2010,,,,,,1,Lost donor,,,,,,,,,,,,,2017 Fund Do Party (No date),,0,,,Religious Organization (No date),,10/6/2007,,,,
2007.184,Individual,Individual (No start date - No end date),1600,100,One-time gift,3/2/2007,100,One-time gift,4/4/2018,200,One-time gift,3/9/2012,,Mailing,1/21/2014,,Female,0,Higher giving potential;Lapsed donor,,,Women's Fund Committee Board-Past Member (No date),,,,,2018 Legacy Dinner (11/7/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016);2015 Legacy Dinner (No date);2014 Legacy Dinner (No date),,2016 Women's Rooftop Event (No date),,,,,0,,,,,9/16/1996,,,,
1998.MID.03377,Individual,,1600,50,One-time gift,9/21/1998,100,Soft credit one-time gift,5/18/2018,700,One-time gift,4/19/2016,,,,,Female,1,Lapsed donor,,,,,,,,,,,,,,,0,,,,,10/13/1998,,,,
2006.3144,Individual,Individual (No start date - No end date),1600,100,Soft credit one-time gift,12/26/2006,100,One-time gift,2/2/2021,200,One-time gift,6/13/2008,,Email,6/4/2020,,Female,1,Higher giving potential;Lapsing donor,,,,,,,,,,,,,,,0,,,,,7/1/1996,,1,,
2006.3736,Individual,,1599.05,90,One-time gift,5/29/2008,1000,One-time gift,8/26/2013,1000,One-time gift,8/26/2013,,Email,2/5/2018,,Male,1,Lost donor;High wealth rating,,,,,,,,,,,,,,,0,,,,,12/21/2006,,,,
2002.MID.06446,Organization,,1592.26,1592.26,One-time gift,1/30/2002,1592.26,One-time gift,1/30/2002,1592.26,One-time gift,1/30/2002,,,,,,0,Lost donor,,,,,,,,,,,,,,,0,,,,,2/5/2002,,,,
1026,Organization,Religious Organization (No start date - No end date),1589.5,83,One-time gift,1/22/2003,39,One-time gift,3/28/2006,159,One-time gift,11/23/2004,,,,,,0,Lost donor,,,,,,,,,,,,,,,0,,,,,11/1/2004,,,,
2011.17,Individual,,1579.36,500,One-time gift,12/31/2010,1079.36,Stock/property (sold),12/6/2011,1079.36,Stock/property (sold),12/6/2011,,Email,12/7/2011,,Male,1,Lost donor,,,,,,,,,,,,,,,0,,,,,1/6/2011,,,,
2009.55,Individual,,1575,250,One-time gift,1/2/2009,250,One-time gift,9/15/2017,400,One-time gift,6/12/2017,,,,,Male,0,Higher giving potential;Lost donor,,,,,,,,,,,,,,,0,,,,,1/9/2009,,,,
2410,Individual,,1575,100,One-time gift,11/30/2005,100,One-time gift,10/19/2022,100,One-time gift,11/30/2005,,,,,Male,1,Higher giving potential,,,,,,,,,,,,,,,0,,,,,12/28/2005,,,,
2013.1832,Individual,,1575,25,One-time gift,10/31/2013,150,One-time gift,12/2/2020,600,One-time gift,3/3/2014,,,,,Female,1,Lapsing donor,,,,,,,,,,,,,,,0,,,,,11/4/2013,,,,
2002.MID.07261,Individual,,1575,50,One-time gift,2/4/1997,75,One-time gift,4/6/2017,1000,One-time gift,10/18/2004,,,,,Male,1,Lost donor,,,,,,,,,,,,,,,0,,,,,12/9/2002,,,,
2010.47,Individual,,1575,100,One-time gift,1/13/2010,100,One-time gift,1/8/2020,200,One-time gift,5/7/2012,,,,,Female,1,Higher giving potential;Lapsed donor,,,,,,,,,,,,,,,0,,,,,1/15/2010,,,,
2002.MID.06967,Individual,Individual (7/10/2002 - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099),1575,100,One-time gift,11/21/2014,250,One-time gift,10/31/2022,250,One-time gift,1/2/2022,,Email,10/11/2022,,Male,1,Higher giving potential;High wealth rating,,,,,,,,,,,,,,,0,,,,,7/10/2002,,,,
2011.622,Individual,,1575,200,One-time gift,12/30/2014,200,One-time gift,10/18/2020,250,One-time gift,1/7/2016,,,,,Male,0,Higher giving potential;Lapsed donor,,,,,,,,,,,,,,,0,,,,,5/3/2011,,,,
2008.385,Individual,Individual (No start date - No end date),1571.67,100,One-time gift,9/3/2008,100,One-time gift,11/5/2015,250,One-time gift,10/23/2014,,Email,10/2/2015,,Male,1,Higher giving potential;Lost donor,,,,,,2014 Enterprise Center event (No date),,,2014 October PA Breakfast/Open House (No date),,,,,,0,,,,,4/1/2008,,,,
1996.MID.00339,Organization,Grant Requestor / Recipient (No start date - No end date);Grant Payee (No start date - No end date),1568.3,53,One-time gift,1/14/2004,50,One-time gift,10/6/2021,500,One-time gift,5/4/2007,,Mailing,6/25/2021,,,0,At risk donor,,,,,,,,,,,,,,,0,,,Religious Organization (No date),,7/1/1996,,,,
2009.1733,Organization,,1565.87,239.25,Soft credit one-time gift,3/2/2015,215.32,Soft credit one-time gift,1/22/2020,250,One-time gift,1/23/2018,,Email,6/28/2010,,,0,Lapsed donor,,,,,,,,,,,,,,,0,,,,,12/4/2009,,,,
2007.217,Individual,Individual (No start date - No end date),1565,1245,One-time gift,7/27/2007,20,One-time gift,1/27/2016,1245,One-time gift,7/27/2007,,Mailing,3/3/2021,,Male,1,Lost donor,,,,,,,,2018 Legacy Dinner (11/7/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016),,,,,,,1,,,,,3/14/2007,,,,
2009.755,Individual,Individual (6/30/2009 - No end date),1560,100,One-time gift,6/26/2009,100,One-time gift,2/26/2022,110,One-time gift,3/11/2015,,,,,Female,0,Higher giving potential,,,,,,,,,,,,,,,0,,,,,6/30/2009,,,,
2016.39,Individual,Individual (4/18/2016 - No end date),1550,100,Soft credit one-time gift,11/30/1998,50,One-time gift,4/7/2017,100,Soft credit one-time gift,11/30/1998,,Meeting,10/4/2016,,Female,1,Lost donor,,,,,,,,,,,,,,,0,,,,,7/1/1996,,,,
2009.824,Individual,Prospect (No start date - No end date),1550,100,One-time gift,6/30/2009,100,One-time gift,4/8/2022,150,One-time gift,5/16/2020,,Email,8/12/2020,,Female,1,Higher giving potential,,,Women's Fund Committee Board-Past Member (No date),,,2014 Enterprise Center event (No date),,,,,,,,,0,,,,,6/9/2008,,1,BPI (No date),
2000.MID.05136,Individual,,1550,50,One-time gift,6/12/2000,800,One-time gift,8/9/2018,800,One-time gift,8/9/2018,,,,,Male,1,Lapsed donor,,,,,,,,,,,,,,,0,,,,1,6/12/2000,,,,
3001,Individual,,1550,50,One-time gift,5/10/2006,100,One-time gift,12/18/2014,500,One-time gift,12/24/2013,,,,,Female,1,Higher giving potential;Lost donor;High wealth rating,,,,,,,,,,,,,,,0,,,,,5/18/2006,,,,
2751,Organization,Business (No start date - No end date),1550,150,One-time gift,1/25/2012,250,One-time gift,12/27/2018,250,One-time gift,2/23/2015,,,,,,1,Lapsed donor,,,,,,,,,,,Community Meeting-Prospective Ask (No date),,,,0,,,,,3/1/2006,,,,
2012.2184,Individual,Fundholder Portal Access (9/8/2021 - 12/31/2099),1550,250,Other,10/8/2014,100,Other,3/9/2022,250,Other,10/8/2014,,Email,4/21/2016,,Male,0,Higher giving potential,,,,,,,,,,,,,,,0,,,,,12/12/2012,,,,
1996.MID.01334,Individual,Individual (No start date - No end date),1550,100,One-time gift,12/18/2001,100,One-time gift,11/22/2021,100,One-time gift,12/18/2001,,,,,Male,0,Higher giving potential,,,,,,,,2018 Donor Appreciation Celebration (6/14/2018),,,,,,,0,,,,,7/1/1996,,,,
2007.5762,Individual,Volunteer (No start date - No end date),1550,100,One-time gift,12/5/2007,100,One-time gift,6/18/2020,100,One-time gift,12/5/2007,,Mailing,2/1/2008,,Female,1,Higher giving potential;Lapsed donor,,,Scholarship Application Reviewers - Past Member (1/30/2018),,,,,,,,,2016 Holiday Volunteer Event (No date),,,0,,,,,12/14/2007,,,,
2000.MID.05272,Individual,Prospect (No start date - No end date),1550,200,One-time gift,8/2/2005,50,One-time gift,9/28/2015,575,Other,2/20/2008,,,,,Female,0,Lost donor;High wealth rating,,,,1,,,,,,,,,,,0,,,,,7/26/2000,,,Women's Fund (2/8/2016),
2020.1631,Individual,Individual (11/9/2020 - No end date),1550,550,One-time gift,11/8/2020,1000,One-time gift,7/7/2021,1000,One-time gift,7/7/2021,,,,,Female,1,Lapsing donor,,,,,,,,,,,,,,,0,,,,,11/9/2020,,,,
2019.12,Individual,Individual (No start date - No end date),1550,100,One-time gift,1/28/2019,250,One-time gift,10/15/2021,600,Soft credit one-time gift,2/7/2020,,,,,Female,0,Higher giving potential;At risk donor,,,,,,,,,,,,,,,0,,,,,1/29/2019,No WSF Enews,,,
2009.135,Individual,,1550,50,One-time gift,9/19/2009,100,Soft credit one-time gift,2/14/2022,1000,One-time gift,3/13/2014,,,,,Male,1,,,,,,,,,,,,,,,,0,,,,,9/23/2009,,,,
1996.MID.00774,Individual,Professional Advisor (No start date - No end date),1550,100,One-time gift,5/17/2006,200,One-time gift,5/13/2020,1000,One-time gift,4/27/2015,,,,,Male,1,Lapsed donor,,,,,,,,,,,,,,,0,,,,,7/1/1996,,,,
2014.497,Individual,,1550,100,One-time gift,5/23/2014,350,One-time gift,2/18/2022,350,One-time gift,2/18/2022,,,,,Female,1,,,,,,,,,,,,,,,,0,,,,,5/28/2014,,,,
2019.112,Individual,Individual (9/23/2009 - No end date),1550,50,Soft credit one-time gift,9/19/2009,100,One-time gift,2/14/2022,1000,Soft credit one-time gift,3/13/2014,,,,,Female,0,Higher giving potential,,,,,,,,,,,,,,,0,,,,,9/23/2009,,,,
1996.MID.00851,Individual,Individual (No start date - No end date),1550,250,One-time gift,10/16/2006,200,Soft credit one-time gift,12/11/2020,250,One-time gift,10/16/2006,,Mailing,11/11/2011,,Female,0,Higher giving potential;Lapsing donor;High wealth rating,,,,,,,,,,,,,,,0,,,,,7/1/1996,,,,
2017.1685,Individual,Individual (No start date - No end date),1550,250,One-time gift,11/17/2017,250,One-time gift,10/31/2022,300,One-time gift,11/29/2021,,,,,Male,0,Higher giving potential,,,,,,,,,,,,,,,0,,,,,11/20/2017,,,,
2008.285,Individual,Individual (3/13/2008 - No end date),1550,100,One-time gift,3/11/2008,100,One-time gift,6/1/2022,150,One-time gift,6/24/2011,,,,,Female,0,Higher giving potential,,,,,,,,,,,,,,,0,,,,,3/13/2008,,,,
2011.1211,Individual,,1547,150,One-time gift,6/1/2012,120,One-time gift,1/18/2019,300,Soft credit one-time gift,1/3/2014,,,,,Female,1,Higher giving potential;Lapsed donor,,,,,,,,,,,,,,,0,,,,,7/1/1996,,,,
2010.113,Organization,,1537,400,One-time gift,2/3/2010,326.5,One-time gift,1/14/2019,500,One-time gift,12/1/2014,,,,,,0,Lapsed donor,,,,,,,,,,,,,,,0,,,,,2/8/2010,,,,
2009.342,Individual,,1525.5,50,One-time gift,4/9/2009,50,Soft credit one-time gift,3/25/2022,100,Soft credit one-time gift,6/29/2009,,,,,Male,1,,,,,,,,,,,,,,,,0,,,,,4/13/2009,,,,
2010.1816,Individual,,1525,25,One-time gift,10/20/2010,100,One-time gift,1/6/2022,100,One-time gift,5/2/2013,,,,,Female,0,Higher giving potential;High wealth rating,,,,,,,,,,,,,,,0,,,,,10/22/2010,,,,
2007.607,Individual,,1525,100,One-time gift,6/27/2007,100,One-time gift,1/6/2020,125,One-time gift,1/8/2018,,Mailing,2/1/2008,,Female,0,Higher giving potential;Lapsed donor,,,,,,,,,,,,,,,0,,,,,7/9/2007,,,,
2002.MID.06931,Individual,,1525,100,One-time gift,7/11/2008,200,One-time gift,2/25/2016,200,One-time gift,6/15/2010,,Mailing,2/1/2008,,Female,0,Lost donor,,,,,,,,,,,,,,,0,,,,,6/19/2002,,,,
2020.1197,Organization,Organization (7/15/2020 - No end date),1523.22,1523.22,One-time gift,7/15/2020,1523.22,One-time gift,7/15/2020,1523.22,One-time gift,7/15/2020,,,,,,0,Lapsed donor,,,,,,,,,,,,,,,0,,,,,7/15/2020,,,,
2007.138,Individual,,1520,300,One-time gift,2/7/2007,240,One-time gift,3/15/2012,300,One-time gift,2/7/2007,,Mailing,4/4/2007,,Female,0,Lost donor,,,,,,,,,,,,,,,0,,,,,2/9/2007,,,,
2008.2044,Individual,,1520,20,Soft credit one-time gift,9/13/2002,500,One-time gift,8/24/2012,1000,One-time gift,12/24/2008,,,,,Female,1,Lost donor,,,,,,,,,,,,,,,0,,,,,12/30/2008,,,,
2001.MID.05815,Organization,,1510,300,One-time gift,5/24/2001,240,One-time gift,5/31/2006,300,One-time gift,5/24/2001,,,,,,0,Lost donor,,,,,,,,,,,,,,,0,,,,,5/29/2001,,,,
2019.1606,Organization,,1500.28,1500.28,One-time gift,11/25/2019,1500.28,One-time gift,11/25/2019,1500.28,One-time gift,11/25/2019,,,,,,0,Lapsed donor,,,,,,,,,,,,,,,0,,,,,11/25/2019,,,,
2007.984,Organization,Grant Requestor / Recipient (No start date - No end date),1500,1500,One-time gift,2/9/2009,1500,One-time gift,2/9/2009,1500,One-time gift,2/9/2009,,,,,,1,Lost donor,,,,,,,,,,,,,,,0,,,501 (c)(3) Public Charity (5/13/2011),,10/6/2007,,,,
2015.1381,Individual,,1500,250,One-time gift,10/21/2015,250,One-time gift,12/11/2020,250,One-time gift,10/21/2015,,,,,Male,1,Higher giving potential;Lapsing donor,,,,,,,,,,,,,,,0,,,,,10/26/2015,,,,
2012.965,Individual,,1500,1000,One-time gift,6/11/2012,500,One-time gift,6/22/2013,1000,One-time gift,6/11/2012,,,,,Male,1,Lost donor,,,,,,,,,,,,,,,0,,,,,6/13/2012,,,,
2020.1599,Individual,Individual (10/23/2020 - No end date),1500,1500,One-time gift,11/4/2021,1500,One-time gift,11/4/2021,1500,One-time gift,11/4/2021,,,,,Male,0,At risk donor;High wealth rating,,,,,,,,,,,,,,,0,,,,,10/23/2020,,,,
1999.MID.04830,Individual,,1500,1000,One-time gift,11/12/1999,500,One-time gift,12/31/2002,1000,One-time gift,11/12/1999,,,,,Female,1,Lost donor,,,,,,,,,,,,,,,0,,,,,11/15/1999,,,,
2010.11,Individual,,1500,500,One-time gift,6/18/2010,500,One-time gift,10/23/2012,500,One-time gift,6/18/2010,,,,,Male,0,Lost donor,,,,,,,,,,,,,,,0,,,,,6/21/2010,,,,
1860,Individual,,1500,50,One-time gift,7/26/2005,100,One-time gift,12/12/2016,100,One-time gift,3/28/2011,,,,,Male,0,Lost donor,,,,,,,,,,,,,,,0,,,,,8/4/2005,,,,
2012.1743,Individual,Individual (No start date - No end date),1500,200,One-time gift,1/4/2013,200,One-time gift,12/31/2018,250,One-time gift,1/4/2016,,Mailing,1/13/2015,,Female,0,Higher giving potential;Lapsed donor;High wealth rating,,,,,,,,2018 Donor Appreciation Celebration (6/14/2018);2012 Community Meeting (No date),,2016 Women's Rooftop Event (No date),,,,,0,,,,,10/5/2012,,,Women's Fund (2/8/2016),
1998.MID.04134,Organization,,1500,500,One-time gift,11/10/1998,500,One-time gift,10/12/2000,500,One-time gift,11/10/1998,,,,,,0,Lost donor,,,,,,,,,,,,,,,0,,,,,11/20/1998,,,,
2015.1161,Individual,,1500,1500,One-time gift,9/2/2015,1500,One-time gift,9/2/2015,1500,One-time gift,9/2/2015,,,,,Male,0,Lost donor,,,,,,,,,,,,,,,0,,,,,9/2/2015,,,,
2002.MID.06441,Individual,,1500,100,One-time gift,1/28/2002,500,One-time gift,12/14/2021,500,One-time gift,12/14/2021,,Mailing,3/29/2021,,Female,0,Higher giving potential,,,,,,,,,,,,,,,0,,,,,2/4/2002,,,,
2019.79,Individual,Individual (No start date - No end date),1500,1500,One-time gift,1/14/2019,1500,One-time gift,1/14/2019,1500,One-time gift,1/14/2019,,,,,Male,1,Lapsed donor;High wealth rating,,,,,,,,,,,,,,,0,,,,,1/15/2019,,,,
2006.3634,Individual,Individual (No start date - No end date),1500,100,One-time gift,11/27/2006,200,One-time gift,5/11/2015,200,One-time gift,5/11/2015,,Mailing,3/27/2007,,Female,1,Higher giving potential;Lost donor,,,,,,,,,,,,,,,0,,,,,7/1/1996,No WSF Enews,,,
2012.614,Individual,,1500,1000,One-time gift,4/23/2012,500,One-time gift,6/7/2013,1000,One-time gift,4/23/2012,,,,,Male,1,Lost donor,,,,,,,,,,,,,,,0,,,,,4/30/2012,,,,
2010.514,Individual,,1500,500,One-time gift,4/28/2010,1000,One-time gift,5/13/2011,1000,One-time gift,5/13/2011,,,,,Male,0,Lost donor,,,,,,,,,,,,,,,0,,,,,4/30/2010,,,,
2021.1276,Organization,,1500,1500,One-time gift,8/26/2021,1500,One-time gift,8/26/2021,1500,One-time gift,8/26/2021,,,,,,1,At risk donor,,,,,,,,,,,,,,,0,,,,,8/26/2021,,,,
1999.MID.04236,Organization,,1500,500,One-time gift,12/8/1998,1000,One-time gift,2/1/2000,1000,One-time gift,2/1/2000,,,,,,0,Lost donor,,,,,,,,,,,,,,,0,,,,,1/13/1999,,,,
2018.132,Organization,Organization (No start date - No end date),1500,1500,One-time gift,11/5/2018,1500,One-time gift,11/5/2018,1500,One-time gift,11/5/2018,,,,,,1,Lapsed donor,,,,,,,,,,,,,,,0,,,,,10/2/2018,,,,
1044,Organization,,1500,500,One-time gift,11/10/2004,1000,One-time gift,7/1/2014,1000,One-time gift,7/1/2014,,,,,,1,Lost donor,,,,,,,,,,,,,,,0,,,,,11/15/2004,,,,
2009.1563,Organization,,1500,1500,One-time gift,11/2/2009,1500,One-time gift,11/2/2009,1500,One-time gift,11/2/2009,,,,,,0,Lost donor,,,,,,,,,,,,,,,0,,,,,11/4/2009,,,,
2016.1701,Individual,Individual (No start date - No end date);Professional Advisor (No start date - No end date);Fundholder Portal Access (12/17/2021 - 12/31/2099),1500,500,One-time gift,12/15/2016,1000,One-time gift,10/4/2018,1000,One-time gift,10/4/2018,,,,,Male,0,Lapsed donor,,,,,,,,,,,,,,,0,,,,,12/16/2016,,,,
2009.472,Individual,Prospect (5/2009 - No end date),1500,500,One-time gift,11/6/2012,1000,One-time gift,1/9/2017,1000,One-time gift,1/9/2017,,Phone call,10/28/2019,,Female,0,Lost donor,,,,,,,,2022 Legacy Event (11/1/2022);2018 Legacy Dinner (11/7/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016),,2016 Women's Rooftop Event (No date),,,,,0,,,,,5/1/2009,,,,
2013.9,Individual,Individual (No start date - No end date),1500,1000,One-time gift,7/3/2013,500,Other,8/22/2018,1000,One-time gift,7/3/2013,,Mailing,10/3/2019,,Male,0,Lapsed donor,,,,,,,,,,,,,,,0,,,,,7/3/2013,,,,
2006.3552,Individual,Individual (No start date - No end date),1500,100,One-time gift,11/14/2006,100,One-time gift,7/18/2022,100,One-time gift,11/14/2006,,Mailing,3/27/2007,,Female,0,Higher giving potential,,,,,,,,,,,,,,,0,,,,,8/23/2004,,,,
2013.1292,Individual,,1500,100,One-time gift,9/5/2013,100,One-time gift,9/22/2022,250,One-time gift,5/2/2014,,,,,Female,0,Higher giving potential;High wealth rating,,,,,,,,,,,,,,,0,,,,,9/6/2013,,,,
